Locus	GCF_001999065	GCF_002214105	GCF_016775745	GCF_018735785	GCF_002214005	GCF_014843335	GCF_003999665	GCF_003390475	GCF_014304775	GCF_001483405	GCF_002213965	GCF_001483425	GCF_018968745	GCF_010442835	GCF_002043045	GCF_001027125	GCF_018336735	GCF_013122235	GCF_002848485	GCF_004771195	GCF_000307065	GCF_002105635	GCF_009730635	GCF_000513595	GCF_000306985	GCF_900231485	GCF_000568475	GCF_013177375	GCF_018336775	GCF_018336655	GCF_002213785	GCF_001047715	GCF_000306905	GCF_900637785	GCF_000307005	GCF_001596775	GCF_001454925	GCF_013177415	GCF_001027065	GCF_000307045	GCF_002213985	GCF_001551855	GCF_000026705	GCF_015583955	GCF_001548635	GCF_002848505	GCF_001454865	GCF_001005985	GCF_008807975	GCF_001188655	GCF_900637775	GCF_018966805	GCF_001998985	GCF_018336755	GCF_002213565	GCF_008807875	GCF_002213585	GCF_003043895	GCF_001952755	GCF_001027085	GCF_008807935	GCF_014983945	GCF_002213765	GCF_018336695	GCF_004101665	GCF_003031955	GCF_002843525	GCF_900275645	GCF_000438645	GCF_003144075	GCF_000258905	GCF_014304695	GCF_018336715	GCF_006364035	GCF_000168595	GCF_002285835	GCF_001889645	GCF_009648595	GCF_002213885	GCF_003812545	GCF_018604305	GCF_018604265	GCF_002831485	GCF_001454845	GCF_004763665	GCF_002213645	GCF_018336675	GCF_003433415	GCF_002116675	GCF_003409075	GCF_001454885	GCF_000195395	GCF_000438725	GCF_018336635	GCF_016802645	GCF_000577745	GCF_001999105	GCF_001999025	GCF_009664755	GCF_000746625	GCF_014843315	GCF_016728025	GCF_000513635	GCF_002214085	GCF_000582845	GCF_002214065	GCF_016775765	GCF_001998945	GCF_002213685	GCF_013389395	GCF_905219375	GCF_000950775	GCF_001548585	GCF_016767835	GCF_002213545	GCF_009648655	GCF_900187225	GCF_018604205	GCF_003032055	GCF_016757715	GCF_002105675	GCF_000438745	GCF_905219385	GCF_002213945	GCF_000307615	GCF_003900515	GCF_001513695	GCF_003030405	GCF_009866905	GCF_002213865	GCF_014987905	GCF_002213805	GCF_009648695	GCF_002214125	GCF_004771175	GCF_002213505	GCF_002557815	GCF_004142705	GCF_018966765	GCF_001188045	GCF_001999005	GCF_008807955	GCF_003031935	GCF_002101275	GCF_001913195	GCF_001999165	GCF_014843295	GCF_016775725	GCF_001999085	GCF_018604325	GCF_002220325	GCF_002105615	GCF_002105715	GCF_009648635	GCF_000513675	GCF_002105655	GCF_002213845	GCF_000613085	GCF_000513695	GCF_001889585	GCF_000022925	GCF_000513615	GCF_000195435	GCF_002214145	GCF_000438625	GCF_000209755	GCF_014304675	GCF_000568935	GCF_000808055	GCF_000168635	GCF_019332005	GCF_000318055	GCF_001999145	GCF_001027245	GCF_900231475	GCF_002848425	GCF_009664735	GCF_000093125	GCF_000307085	GCF_001027165	GCF_018336795	GCF_002213605	GCF_003722375	GCF_018735945	GCF_000438685	GCF_000438705	GCF_002213705	GCF_015689035	GCF_001644625	GCF_001998915	GCF_001027205	GCF_018310555	GCF_018106265	GCF_014983645	GCF_002285655	GCF_002848465	GCF_013177395	GCF_014334275	GCF_002105695	GCF_008807915	GCF_018736025	GCF_000681515	GCF_002214045	GCF_000021185	GCF_014843275	GCF_009866885	GCF_000197755	GCF_000513655	GCF_001952795	GCF_009664775	GCF_000168575	GCF_002213745	GCF_002208215	GCF_009730615	GCF_000438585	GCF_018604185	GCF_002557735	GCF_008807895	GCF_000438665	GCF_000168695	GCF_018604285	GCF_013137935	GCF_000218305	GCF_003032075	GCF_001999125	GCF_003030165	GCF_002025165	GCF_000438605	GCF_000800335	GCF_014983505	GCF_002213905	GCF_003031975	GCF_002969195	GCF_002213825	GCF_006364655	GCF_018604245	GCF_001908335	GCF_001483445	GCF_002213665	GCF_001188025	GCF_000008285	GCF_000196035	GCF_018604225	GCF_009648675	GCF_009648615	GCF_002213925	GCF_018672415	GCF_000600015	GCF_001999045	GCF_000210815	GCF_002213625	GCF_003812565	GCF_003031915	GCF_001952735	GCF_010443035	GCF_002213725	GCF_004768685	GCF_003031895	GCF_902385845	GCF_001952775	GCF_001005925	B33116
lmo2055	14	2	2	2	2	2	7	2	3	1	8	5	67	3	2	1	3	8	1	1	4	16	3	5	9	2	3	2	2	1	1	8	8	3	1	93	2	2	11	3	2	93	2	5	2	1	4	9	4	4	3	39	2	2	5	4	5	1	5	3	2	5	1	3	2	1	1	2	6	93	2	3	2	2	7	2	2	8	14	6	5	5	1	2	3	5	5	2	160	2	4	2	2	5	2	1	2	5	1	5	44	1	5	2	3	2	2	0	5	1	2	2	2	2	5	8	3	5	2	1	31	2	2	14	2	3	5	2	2	6	5	9	2	3	2	8	1	2	2	2	1	2	1	2	5	2	3	9	7	1	2	7	39	8	5	5	6	5	5	2	5	2	2	3	2	4	3	2	2	1	1	2	2	3	3	1	7	5	2	2	3	5	2	5	2	2	5	4	1	9	3	1	14	2	2	1	2	2	1	4	2	2	5	4	2	1	2	5	5	1	1	1	2	3	2	2	1	5	2	3	1	2	4	1	16	1	2	7	2	2	5	5	1	9	2	1	2	5	5	2	2	1	1	8	8	14	11	2	2	1	5	37	2	5	4	5	9	2	2	5	2	2
lmo2056	6	2	6	7	6	2	1	2	12	1	2	18	137	12	2	1	12	72	1	1	9	19	1	5	1	3	0	10	2	11	1	10	2	0	1	12	2	10	8	0	6	12	3	5	2	1	9	1	4	4	0	158	10	2	5	58	5	1	5	12	3	5	1	12	10	1	1	6	8	12	3	12	6	2	1	2	2	10	6	8	5	18	1	6	12	5	5	2	278	6	9	2	10	5	2	11	2	5	11	5	104	1	5	2	0	6	6	2	5	1	10	3	2	7	5	10	12	18	2	21	48	10	10	6	6	12	5	2	2	8	5	1	2	12	7	2	1	7	3	3	11	7	1	6	5	10	0	1	1	11	7	1	71	10	5	14	8	5	5	2	5	6	10	12	2	4	12	6	10	11	21	6	2	12	1	1	1	5	3	2	12	5	6	14	7	10	5	159	1	1	12	1	6	10	2	1	10	10	1	4	6	10	5	4	7	1	7	5	5	1	1	1	2	1	7	10	1	29	6	12	1	10	4	1	19	11	2	1	6	2	5	26	1	1	2	11	2	5	5	10	6	1	11	10	10	6	8	6	2	1	5	124	2	5	4	5	1	2	2	5	2	2
lmo2057	7	12	7	23	7	4	11	21	3	15	4	1	118	3	4	1	3	4	1	22	10	18	15	6	15	4	3	2	2	22	1	42	14	3	1	3	21	41	18	3	7	3	4	6	12	1	10	13	115	5	3	139	19	2	6	56	6	1	6	3	163	6	1	3	2	39	1	7	9	3	4	3	7	23	11	223	2	42	7	25	6	1	1	7	3	6	6	23	11	7	10	2	2	6	4	13	12	6	22	6	86	17	6	12	3	7	7	12	6	1	2	4	12	8	6	42	3	1	2	24	50	2	2	7	7	3	6	2	2	9	6	13	12	3	8	4	1	8	4	4	13	23	22	29	6	2	3	15	18	22	8	11	157	42	6	1	9	6	6	21	6	7	2	3	12	5	3	7	2	13	24	7	12	3	15	1	11	6	4	12	3	6	7	1	8	2	6	54	1	13	3	343	7	2	223	1	2	2	1	115	7	2	6	5	8	1	8	6	6	1	1	1	223	15	8	2	1	1	7	3	22	2	5	1	18	13	2	11	7	2	6	15	1	13	21	22	12	6	6	2	7	1	13	42	42	7	18	7	2	1	6	55	2	6	5	6	15	21	12	6	12	23
lmo2058	7	10	7	28	7	8	1	2	3	27	4	1	87	3	8	1	3	4	1	18	9	21	3	6	12	4	3	2	2	19	1	28	8	3	1	3	2	2	16	3	7	3	4	6	10	1	9	1	117	5	3	145	44	2	6	57	6	1	6	3	20	6	1	3	2	40	1	7	1	3	4	3	7	4	1	10	2	28	7	1	6	1	1	7	3	6	6	4	283	7	9	2	2	6	8	11	10	6	19	6	97	14	6	10	3	7	7	10	6	1	2	4	10	4	6	28	3	1	2	22	51	2	2	7	7	3	6	2	2	1	6	1	10	3	4	4	1	8	4	20	11	28	18	8	6	2	3	12	27	19	4	1	166	28	6	1	1	6	6	2	6	7	2	3	10	5	3	7	2	11	22	7	10	3	3	1	1	6	4	10	3	6	7	1	8	2	6	160	1	1	3	1	7	2	10	1	2	2	1	117	7	2	6	5	8	1	8	6	6	1	1	1	10	3	8	2	1	1	7	3	18	2	5	1	21	11	2	1	7	2	6	25	1	1	2	19	10	6	6	2	7	1	11	28	28	7	16	7	2	1	6	9	2	6	5	6	15	2	10	6	10	4
lmo2059	2	2	2	2	2	2	7	2	1	17	3	1	0	1	2	1	1	89	9	12	8	1	1	5	1	3	1	2	2	13	9	2	10	1	9	1	2	2	1	1	2	1	3	5	2	9	8	1	392	4	1	48	2	2	5	49	5	9	5	1	14	5	9	1	2	12	9	2	7	1	3	1	2	2	7	2	2	2	2	40	5	1	9	2	1	5	5	2	235	2	8	2	2	5	2	1	2	5	13	5	80	1	5	2	1	2	2	2	5	1	2	3	2	14	5	2	1	1	2	1	1	2	2	2	2	1	5	2	2	7	5	1	2	1	14	3	9	6	3	14	1	2	12	3	5	2	1	1	1	13	14	7	140	2	5	1	7	5	5	2	5	2	2	1	2	4	1	2	2	1	1	2	2	1	1	9	7	5	3	2	1	5	2	1	6	2	5	48	1	1	1	9	2	2	2	9	2	2	1	392	2	2	5	4	6	1	6	5	5	9	9	9	2	1	6	2	9	1	2	1	12	2	4	9	1	1	2	7	2	2	5	1	9	1	2	13	2	5	5	2	2	1	1	2	2	2	1	2	2	9	5	48	2	5	4	5	1	2	2	5	2	2
lmo2060	11	12	11	4	7	22	9	2	3	30	4	1	126	3	22	3	3	4	1	1	10	1	1	6	15	4	3	13	2	19	1	11	14	3	1	3	2	13	1	3	7	3	4	6	12	1	10	1	339	5	3	154	36	2	6	60	6	1	6	3	14	6	1	3	13	43	1	11	9	3	4	3	11	28	9	12	2	11	11	1	6	1	1	11	3	6	6	28	1	11	10	2	13	6	22	6	12	6	19	6	75	1	6	12	3	7	11	12	6	1	13	4	12	14	6	11	3	1	2	23	1	13	13	11	11	3	6	2	2	9	6	1	12	3	14	4	1	8	4	14	6	4	1	29	6	13	3	15	30	19	14	9	178	11	6	1	9	6	6	2	6	7	13	3	12	5	3	192	13	6	23	11	12	3	1	1	9	6	4	12	3	6	11	1	8	13	6	154	1	1	3	1	11	13	12	1	13	13	3	339	11	13	6	5	8	1	8	6	6	1	1	1	12	1	8	13	1	1	7	3	1	13	5	1	1	6	2	9	11	2	6	3	1	1	2	19	12	6	6	13	11	1	6	11	11	11	1	11	2	1	6	73	2	6	5	6	17	2	12	6	12	28
lmo2061	4	4	4	35	4	4	9	2	3	14	4	1	111	3	4	18	3	4	220	7	8	7	17	6	12	4	3	10	2	7	1	4	11	3	1	3	2	10	1	3	4	3	4	6	4	1	8	7	443	5	3	41	2	2	6	56	6	1	6	3	4	6	1	3	10	39	1	4	7	3	4	3	4	4	9	4	2	4	4	7	6	1	1	4	3	6	6	4	1	4	8	2	10	6	4	7	4	6	7	6	89	7	6	4	3	4	4	4	6	19	10	4	4	4	6	4	3	1	2	21	1	10	10	4	4	3	6	2	2	7	6	7	4	3	4	4	1	2	4	4	7	35	7	4	6	10	3	12	14	7	4	9	155	4	6	1	7	6	6	2	6	4	10	3	4	5	3	4	10	7	21	4	4	3	17	1	9	6	4	4	3	6	4	0	2	10	6	55	19	7	3	1	4	10	4	1	10	10	18	443	4	10	6	5	2	1	2	6	6	1	1	1	4	17	2	10	1	1	4	3	7	10	5	1	7	7	2	9	4	2	6	183	1	7	2	7	4	6	6	10	4	1	7	4	4	4	1	4	2	1	6	55	2	6	5	6	14	2	4	6	4	4
lmo2062	7	11	7	61	7	33	9	2	3	45	68	1	199	3	33	23	3	32	1	24	10	35	22	6	15	4	3	12	2	13	1	32	14	3	1	3	2	12	71	3	7	3	4	6	11	1	10	26	876	5	3	242	56	2	6	257	6	1	6	3	29	6	1	3	12	65	1	7	9	3	4	3	7	7	9	11	2	32	7	36	6	1	1	7	3	6	6	7	532	7	10	2	12	6	33	13	11	6	13	6	155	17	6	11	3	7	7	11	6	1	12	4	11	29	6	32	3	1	2	37	86	12	12	7	7	3	6	2	2	9	6	26	11	3	29	68	1	8	4	29	13	61	24	44	6	12	3	15	69	13	29	9	281	32	6	1	9	6	6	2	6	7	12	3	11	5	3	7	12	13	37	7	11	3	22	1	9	6	4	11	3	6	7	1	8	12	6	269	1	26	3	1	7	12	11	1	12	12	23	876	7	12	6	5	8	1	8	6	6	1	1	1	11	22	8	12	1	1	7	3	24	12	5	1	35	13	2	9	305	162	6	3	1	26	2	13	11	6	6	12	7	1	13	32	32	7	19	7	2	1	6	183	2	6	5	6	18	2	11	6	11	7
lmo2063	4	4	4	5	4	10	1	2	1	1	2	1	11	1	10	1	1	5	1	1	3	1	8	1	1	2	1	5	2	6	1	10	4	1	1	1	2	5	1	1	4	1	2	1	4	1	3	1	3	3	1	17	10	2	1	11	1	1	1	1	4	1	1	1	5	6	1	4	1	1	2	1	4	4	1	4	2	10	4	1	1	1	1	4	1	1	1	4	1	4	3	2	5	1	10	6	4	1	6	1	30	1	1	4	1	4	4	4	1	1	5	2	4	4	1	10	1	1	2	1	1	5	5	4	4	1	1	2	2	1	1	1	4	1	4	2	1	2	2	4	6	5	1	10	1	5	1	1	8	6	4	1	1	10	1	1	1	1	1	2	1	4	5	1	4	3	1	4	5	6	1	4	4	1	8	1	1	1	2	4	1	1	4	1	2	5	1	11	1	1	1	35	4	5	4	1	5	5	1	3	4	5	1	3	2	1	2	1	1	1	1	1	4	8	2	5	1	1	4	1	1	5	3	1	1	6	2	1	4	2	1	1	1	1	2	6	4	1	1	5	4	1	6	10	10	4	1	4	2	1	1	3	2	1	3	1	1	2	4	1	4	4
lmo2064	2	2	2	2	2	9	3	2	3	12	16	1	5	3	9	3	3	2	1	3	6	0	3	3	3	4	3	2	2	3	1	2	2	3	1	3	2	2	3	3	2	3	4	3	2	1	6	1	5	5	3	5	4	2	3	28	3	1	3	3	2	3	1	3	2	3	1	2	3	3	4	3	2	2	3	2	2	2	2	1	3	1	1	2	3	3	3	2	3	2	6	2	2	3	9	3	2	3	3	3	36	8	3	2	3	2	2	2	3	1	2	4	2	2	3	2	3	1	2	1	0	2	2	2	2	3	3	2	2	3	3	1	2	3	2	16	1	2	4	2	3	2	3	9	3	2	3	3	17	3	2	3	3	2	3	1	3	3	3	2	3	2	2	3	2	5	3	2	2	3	1	2	2	3	3	1	3	3	4	2	3	3	2	1	2	2	3	5	1	1	3	1	2	2	2	1	2	2	3	5	2	2	3	5	2	1	2	3	3	1	1	1	2	3	2	2	1	1	2	3	3	2	5	1	3	3	2	3	2	2	3	3	1	1	2	3	2	3	3	2	2	1	3	2	2	2	1	2	2	1	3	33	2	3	5	3	3	2	2	3	2	2
lmo2065	2	2	2	2	2	2	5	2	3	8	2	1	92	3	2	3	3	2	17	5	6	5	11	5	8	2	3	7	2	5	1	2	2	3	1	3	2	7	25	3	2	3	2	5	2	1	6	1	55	4	3	26	2	2	5	39	5	1	5	3	2	5	1	3	7	5	17	2	5	3	2	3	2	2	5	2	2	2	2	47	5	1	1	2	3	5	5	2	75	2	6	2	7	5	2	5	2	5	5	5	73	10	5	2	3	2	2	2	5	1	7	2	2	2	5	2	3	1	2	5	31	7	7	2	2	3	5	140	2	5	5	1	2	3	2	2	1	2	2	2	5	2	5	2	5	7	3	8	1	5	2	5	119	2	5	1	5	5	5	2	5	2	7	3	2	4	3	2	7	5	5	2	2	3	11	1	5	5	2	2	3	5	2	1	2	7	5	13	1	1	3	1	2	7	2	17	7	7	3	55	2	12	5	4	2	1	2	5	5	1	1	1	2	11	2	7	1	1	2	3	5	7	4	1	5	5	2	5	2	2	5	3	1	1	2	5	2	137	5	12	2	1	5	2	2	2	5	2	2	1	5	6	2	5	4	5	3	2	2	5	2	2
lmo2066	2	2	2	2	2	2	1	2	1	4	2	1	45	1	2	1	1	2	1	1	3	6	1	1	4	2	1	2	2	1	1	2	2	1	1	1	2	2	12	1	2	1	2	1	2	1	3	1	3	3	1	13	2	2	1	9	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	2	2	1	0	2	2	2	1	1	1	1	2	1	1	1	2	1	2	3	2	2	1	2	1	2	1	1	1	32	1	1	2	1	2	2	2	1	1	2	2	2	2	1	2	1	1	2	1	1	2	2	2	2	1	1	2	2	1	1	1	2	1	2	2	1	2	2	2	1	2	1	2	1	2	1	4	12	1	2	1	1	2	1	1	1	1	1	2	1	2	2	1	2	3	1	2	2	1	1	2	2	1	1	1	1	1	2	2	1	1	2	1	2	2	1	3	1	1	1	1	2	2	0	1	2	2	1	3	2	2	1	3	2	1	2	1	1	1	1	1	2	1	2	2	1	1	2	1	1	2	3	1	6	1	2	1	2	2	1	80	1	1	2	1	2	1	1	2	2	1	1	2	2	2	1	2	2	1	1	3	2	1	3	1	1	2	2	1	2	2
lmo2067	6	10	6	43	6	11	9	2	1	1	48	1	32	1	11	1	1	48	1	1	8	1	1	5	1	3	1	11	2	23	1	24	12	1	1	1	2	11	50	1	6	1	3	5	10	1	8	21	0	4	1	51	38	2	5	65	5	1	5	1	54	5	1	1	11	47	1	6	1	1	3	1	6	6	9	10	2	24	6	21	5	1	1	6	1	5	5	6	291	6	8	2	11	5	11	1	10	5	23	5	103	14	5	10	1	6	6	17	5	1	11	3	10	3	5	24	1	1	2	1	1	11	11	6	6	1	5	2	2	1	5	21	10	1	3	48	1	7	3	3	1	43	1	24	5	11	1	1	1	23	3	9	14	24	5	1	1	5	5	2	5	6	11	1	10	4	1	6	11	1	1	6	17	1	1	1	9	5	3	10	1	5	6	1	7	11	5	156	1	21	1	1	6	11	10	1	11	11	30	0	6	11	5	4	7	1	7	5	5	1	1	1	10	1	7	11	1	1	6	1	1	11	4	1	1	1	2	9	6	2	5	248	1	21	2	23	10	5	5	11	6	1	1	24	24	6	1	6	2	1	5	8	2	5	4	5	15	2	10	5	10	6
lmo2068	7	11	7	56	7	33	9	2	3	15	2	1	163	3	33	24	3	2	1	25	10	0	23	1	15	6	3	12	2	31	1	32	14	3	1	3	2	12	35	3	7	3	6	1	11	1	10	27	688	5	3	197	26	2	1	83	1	1	1	3	4	1	1	3	12	31	1	7	9	3	4	3	7	7	9	11	2	32	7	27	1	1	1	7	3	1	1	7	414	7	10	2	12	1	33	257	11	1	31	1	128	17	1	11	3	7	7	11	1	1	12	6	11	750	1	32	3	1	2	9	72	12	12	7	7	3	1	2	2	9	1	27	11	3	4	2	1	8	4	4	13	56	25	39	1	12	3	15	61	31	4	9	146	32	1	1	9	1	1	2	1	7	12	3	11	5	3	7	12	13	9	7	11	3	23	1	9	1	6	11	3	1	7	1	8	12	1	224	1	27	3	1	7	12	11	1	12	12	24	688	7	12	1	5	8	1	8	1	1	1	1	1	11	23	8	12	1	1	7	3	25	12	5	1	35	30	2	9	7	2	1	29	1	27	2	31	11	1	1	12	7	1	30	32	32	7	9	7	2	1	1	98	2	1	5	1	18	2	11	1	11	7
lmo2069	5	3	5	5	5	10	1	2	1	1	2	1	15	1	10	1	1	2	1	1	6	1	1	1	1	3	1	5	2	1	1	3	5	1	1	1	2	5	1	1	5	1	3	1	3	1	6	1	15	4	1	28	5	2	1	4	1	1	1	1	3	1	1	1	5	1	1	5	1	1	3	1	5	5	1	3	2	3	5	1	1	1	1	5	1	1	1	5	1	5	6	2	5	1	10	9	3	1	1	1	8	1	1	3	1	5	5	3	1	46	5	3	3	3	1	3	1	1	2	1	1	5	5	5	5	1	1	2	2	1	1	1	3	1	3	2	1	5	3	3	7	5	1	5	1	5	1	1	1	1	3	1	1	3	1	1	1	1	1	2	1	5	5	1	3	4	1	5	5	7	1	5	3	1	1	1	1	1	3	3	1	1	5	1	5	5	1	31	46	1	1	1	5	5	3	1	5	5	1	15	5	5	1	4	5	1	5	1	1	1	1	1	3	1	5	5	1	1	5	1	1	5	4	1	1	9	2	1	5	2	1	1	1	1	2	1	3	1	1	5	5	1	9	3	3	5	1	5	2	1	1	6	2	1	4	1	1	2	3	1	3	5
lmo2070	3	9	3	3	3	3	8	2	89	1	2	1	108	1	3	1	1	2	1	1	7	1	14	1	1	3	1	10	2	1	1	36	12	1	1	1	2	10	1	1	3	1	5	1	9	1	7	1	116	4	1	53	23	2	1	49	1	1	1	1	15	1	1	1	10	1	1	3	1	1	3	1	3	3	8	9	2	36	3	42	1	1	1	3	1	1	1	3	1	3	7	2	10	1	3	1	9	1	1	1	84	1	1	9	1	3	3	9	1	1	10	3	9	15	1	36	1	1	2	1	1	10	10	3	3	1	1	2	2	1	1	1	9	1	15	2	1	6	3	15	11	3	1	21	1	10	1	1	1	1	15	8	1	36	1	1	1	1	1	2	1	3	10	1	9	4	1	3	10	11	1	3	9	1	14	1	8	1	3	9	1	1	3	1	6	10	1	134	1	1	1	1	3	10	9	1	10	10	1	116	3	10	1	4	6	1	6	1	1	1	1	1	9	14	6	10	1	1	3	1	1	10	4	1	1	1	2	8	3	2	1	1	1	1	2	1	9	1	1	10	3	1	1	36	36	3	1	3	2	1	1	61	2	1	4	1	1	2	9	1	9	3
lmo2071	0	0	0	0	0	0	3	0	1	3	0	1	0	1	0	1	1	0	1	1	0	1	1	1	3	0	1	0	0	1	1	0	2	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	2	0	1	0	1	1	1	1	0	1	1	1	0	1	1	0	3	1	0	1	0	0	3	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	3	1	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	3	1	1	0	3	1	0	1	1	3	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	1	3	1	2	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	4	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	3	0	0	1	3	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0
lmo2072	5	5	5	14	5	14	1	2	1	1	5	1	10	1	14	1	1	5	1	1	0	1	11	1	8	3	1	7	2	1	1	6	6	1	1	1	2	7	1	1	5	1	3	1	5	1	10	12	31	4	1	16	5	2	1	16	1	1	1	1	14	1	1	1	7	1	1	5	1	1	3	1	5	5	1	5	2	6	5	1	1	1	1	5	1	1	1	5	1	5	10	2	7	1	14	1	5	1	1	1	39	1	1	5	1	5	5	5	1	1	7	3	5	13	1	6	1	1	2	1	1	7	7	5	5	1	1	2	2	1	1	12	19	1	13	5	1	6	3	14	1	14	1	14	1	7	1	8	1	1	13	1	1	6	1	1	1	1	1	2	1	5	7	1	5	4	1	5	7	1	1	5	5	1	11	1	1	1	3	5	1	1	5	1	6	7	1	10	1	12	1	1	5	7	5	1	7	7	1	31	5	7	1	4	6	1	6	1	1	1	1	1	5	11	6	7	1	1	5	1	1	7	4	1	1	1	2	1	5	2	1	8	1	12	2	1	5	1	1	7	5	1	1	6	6	5	1	5	2	1	1	10	2	1	4	1	1	2	5	1	19	5
lmo2075	5	3	5	38	5	18	1	2	1	48	2	1	126	1	18	87	1	5	1	1	7	1	16	1	1	3	1	9	2	1	1	2	11	1	1	1	2	9	42	1	5	1	3	1	3	1	7	19	500	4	1	150	25	2	1	60	1	1	1	1	11	1	1	1	15	1	1	5	6	1	3	1	5	5	1	3	2	2	5	19	1	1	1	5	1	1	1	5	1	5	7	2	9	1	18	10	3	0	1	1	101	1	1	3	1	5	5	3	1	1	15	186	3	20	1	2	1	1	2	1	1	9	15	5	5	1	1	2	2	6	1	19	3	1	20	2	1	2	3	11	10	38	1	3	1	15	1	1	1	1	20	1	1	2	1	1	6	1	1	2	1	5	9	1	3	4	1	5	15	10	1	5	3	1	16	1	1	1	3	3	1	1	5	1	2	9	1	168	1	19	1	1	5	15	3	1	9	15	1	500	5	15	1	4	2	1	2	1	1	1	8	1	3	16	2	15	1	1	5	1	1	15	4	1	1	10	2	1	5	2	1	1	1	19	2	1	85	1	1	15	5	1	10	2	2	5	1	5	2	1	1	59	2	1	4	1	13	2	3	1	3	5
lmo2076	5	2	5	2	5	8	1	2	1	1	2	1	56	1	8	1	1	5	1	1	6	1	1	4	4	2	1	2	2	4	1	2	2	1	1	1	2	2	1	1	5	1	2	4	2	1	6	4	199	3	1	6	2	2	4	25	4	1	4	1	2	4	1	1	2	1	1	5	1	1	2	1	5	5	1	2	2	2	5	4	4	1	1	5	1	4	4	5	130	5	6	2	2	4	8	1	2	4	4	4	39	1	4	2	1	5	5	2	4	1	2	2	2	2	4	2	1	1	2	1	1	2	2	5	5	1	4	2	2	1	4	4	2	1	2	2	1	2	2	2	1	2	1	11	4	2	1	4	9	4	2	1	1	2	4	1	1	4	4	2	4	5	2	1	2	3	1	5	2	1	1	5	2	1	1	1	1	4	2	2	1	4	5	1	2	2	4	17	1	4	1	1	5	2	2	1	2	2	1	199	5	2	4	3	2	1	2	4	4	1	1	1	2	1	2	2	1	1	5	1	1	2	3	1	1	1	2	1	5	2	4	9	1	4	2	4	2	4	4	2	5	1	1	2	2	5	1	5	2	1	4	14	2	4	3	4	1	2	2	4	2	5
lmo2083	6	9	6	6	6	16	3	2	3	3	10	14	124	3	16	13	3	10	1	3	8	3	3	3	3	4	3	10	2	3	1	10	10	3	1	3	2	10	3	3	6	3	4	3	9	1	8	35	103	5	3	68	10	2	3	58	3	1	3	3	33	3	1	3	10	3	1	6	3	3	4	3	6	6	3	9	2	10	6	3	3	14	1	6	3	3	3	6	271	6	8	2	10	3	16	11	9	3	3	3	102	13	3	9	3	6	6	9	3	1	10	4	9	10	3	10	3	14	2	3	39	10	10	6	6	3	3	2	101	3	3	3	9	3	10	10	1	7	4	173	11	6	3	25	3	10	3	3	3	3	10	3	171	10	3	14	3	3	3	2	3	6	10	3	9	5	3	6	10	11	3	6	9	3	3	1	3	3	4	9	3	3	6	14	7	10	3	160	1	3	3	1	6	10	9	1	10	10	13	103	6	10	3	5	7	1	7	3	3	1	1	1	9	3	7	10	1	1	6	3	3	10	5	1	3	11	101	3	6	2	3	24	1	3	2	3	9	3	3	10	6	1	11	10	10	6	3	6	2	1	3	73	2	3	5	3	3	2	9	3	9	6
lmo2084	0	11	0	0	0	21	9	2	3	0	25	17	134	3	21	16	3	14	1	20	10	9	19	6	6	4	3	12	2	24	1	12	14	3	1	3	2	12	6	3	0	3	7	6	11	1	10	6	546	197	3	74	25	2	6	63	6	1	6	3	51	6	1	3	12	20	1	0	9	3	4	3	0	0	9	11	2	12	0	20	6	17	1	0	3	6	6	0	325	0	10	2	12	6	21	13	11	6	24	6	106	16	6	11	3	0	0	11	6	1	12	4	11	0	6	12	3	17	2	9	49	12	12	0	0	32	6	2	2	257	6	6	11	3	0	25	1	2	4	0	13	0	20	0	6	12	3	6	3	24	0	9	185	12	6	17	257	6	6	2	6	0	12	3	11	5	3	0	12	13	9	0	11	3	19	258	9	6	4	11	3	6	0	17	2	12	6	171	1	6	3	1	0	12	11	1	12	12	16	546	0	12	6	5	2	1	8	6	6	1	1	1	11	19	2	12	1	1	0	3	20	12	5	1	9	13	2	9	0	2	6	3	1	6	2	24	11	6	6	12	0	1	13	12	12	0	6	0	2	1	6	121	2	6	5	6	6	2	11	6	11	0
